,carat,cut,color,clarity,depth,table,price,x,y,z,clarity_,color_,cut_
0,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,3,6,4
1,0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,5,6,2
2,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,4,2,4
3,0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,2,1,2
4,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,6,1,3
5,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,7,2,3
6,0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,3,3,3
7,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,5,3,3
8,0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,3,1,2
9,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,5,1,5
10,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,3,5,4
11,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,2,1,5
12,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,2,6,4
13,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,1,6,4
14,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,2,2,5
15,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,3,1,2
16,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,3,1,2
17,0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,3,1,3
18,0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,2,2,2
19,0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,4,6,3
20,0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,5,3,3
21,0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,3,1,3
22,0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,3,1,3
23,0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,6,4,3
24,0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,5,2,4
25,0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,4,1,3
26,0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,4,7,3
27,0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,5,5,3
28,0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,5,5,3
29,0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,5,5,3
30,0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,5,6,3
31,0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,5,6,3
32,0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,5,7,3
33,0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,5,5,2
34,0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,5,6,2
35,0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,3,3,2
36,0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,4,7,3
37,0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,2,2,5
38,0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,2,2,5
39,0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,3,1,5
40,0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,4,7,2
41,0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,5,7,2
42,0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,2,3,2
43,0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,2,3,3
44,0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,2,3,2
45,0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,4,6,3
46,0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,2,3,3
47,0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,3,5,3
48,0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,5,4,5
49,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,3,2,5
50,0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,4,6,4
51,0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,4,7,4
52,0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,2,2,5
53,0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,2,1,4
54,0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,3,2,3
55,0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,3,2,3
56,0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,3,7,4
57,0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,3,7,5
58,0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,3,7,5
59,0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,2,2,4
60,0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,6,4,5
61,0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,3,4,3
62,0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,3,4,4
63,0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,7,6,4
64,0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,7,7,3
65,0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,3,3,3
66,0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,3,3,4
67,0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,3,3,4
68,0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,3,3,2
69,0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,6,5,3
70,0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,6,6,3
71,0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,6,7,3
72,0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,6,7,3
73,0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,7,6,3
74,0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,7,6,3
75,0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,7,7,3
76,0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,6,6,5
77,0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,2,2,5
78,0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,7,6,2
79,0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,7,4,4
80,0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,7,3,4
81,0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,7,3,4
82,0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,6,3,4
83,0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,3,2,4
84,0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,2,6,1
85,0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,4,4,5
86,0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,4,6,3
87,0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,2,4,3
88,0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,4,6,2
89,0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,5,5,2
90,0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,2,5,1
91,0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,3,6,3
92,0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,3,3,4
93,0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,3,7,3
94,0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,3,6,4
95,0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,3,4,5
96,0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,4,4,4
97,0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,5,2,5
98,0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,3,4,5
99,0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,3,4,4
100,0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,6,2,5
101,0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,2,5,5
102,0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,6,6,5
103,0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,2,5,5
104,0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,2,6,5
105,0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,4,2,4
106,0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,3,4,3
107,0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,4,5,5
108,0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,4,5,5
109,0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,2,5,4
110,0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,4,4,5
