,carat,cut,color,clarity,depth,table,x,y,z,clarity_,cut_,color_,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2,3,3,2850.3452977371376
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,4,2,5,854.339547377945
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,4,5,3,1457.7046650217007
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,5,5,4,7206.398694538944
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,2,5,4,18298.02865658453
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,4,3,1,13086.935873257386
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,2,5,4,4322.330913191674
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3,4,6,2641.716299087582
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,4,4,2,2422.080480314918
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,8,5,3,3852.840519466101
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,4,2,7,5770.004149804657
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,6,5,4,816.3698733930985
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,6,5,1,1402.490108212753
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,4,5,7,783.8334334426007
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,4,1,7,1524.6360355997845
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,3,5,6,1482.3589538756123
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,3,2,2,369.33838393434786
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,2,2,3,20624.734105774867
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,3,4,5,4188.360285541022
